Canton acronym,canton,latitude,longitude
BE,Berne,46.7988621,7.7080701
SO,Soleure,47.332072,7.638839
BS,Bâle-Ville,47.561925,7.592768
BL,Bâle-Campagne,47.441812,7.7644
AG,Argovie,47.387666,8.255429
ZH,Zurich,47.376887,8.541694
GL,Glaris,47.040427,9.067208
SH,Schaffhouse,47.700936,8.568004
AR,Appenzell Rhodes-Extérieures,47.366481,9.300092
AI,Appenzell Rhodes-Intérieures,47.316192,9.431657
SG,St-Gall,47.145625,9.350433
GR,Grisons,46.656987,9.578026
TG,Thurgovie,47.603786,9.055737
LU,Lucerne,47.079567,8.166244
UR,Uri,46.773863,8.602515
SZ,Schwyz,47.072383,8.790365
OW,Obwald,46.877858,8.251249
NW,Nidwald,46.926702,8.384998
ZG,Zoug,47.149702,8.547771
VD,Vaud,46.561313,6.536765
VS,Valais,46.190461,7.544923
GE,Genève,46.218007,6.121692
FR,Fribourg,46.681675,7.117264
NE,Neuchâtel,46.975195,6.771555
JU,Jura,47.344447,7.143061
TI,Tessin,46.331734,8.800453
